dancer_id,role,dance,level,total_points,update_date
20791,Leader,West Coast Swing,Intermediate,1,2024-10-23
20791,Leader,West Coast Swing,Intermediate,2,2024-10-30
20809,Leader,West Coast Swing,Advanced,36,2024-10-23
20809,Leader,West Coast Swing,Advanced,52,2024-10-30
20813,Follower,West Coast Swing,Advanced,44,2024-10-23
20813,Follower,West Coast Swing,Advanced,46,2024-10-30
20817,Leader,West Coast Swing,Novice,6,2024-10-23
20817,Leader,West Coast Swing,Novice,7,2024-10-30
20844,Leader,West Coast Swing,Intermediate,27,2024-10-23
20844,Leader,West Coast Swing,Intermediate,31,2024-10-30
20852,Leader,West Coast Swing,Novice,15,2024-10-23
20852,Leader,West Coast Swing,Novice,16,2024-10-30
